Datum,Bestätigte Fälle,Todesfälle,Geheilte,Aktuelle Erkrankungen
2/25/20,2.0,0,0.0,2.0
2/26/20,2.0,0,0.0,2.0
2/27/20,3.0,0,0.0,3.0
2/28/20,3.0,0,0.0,3.0
2/29/20,9.0,0,0.0,9.0
3/1/20,14.0,0,0.0,14.0
3/10/20,182.0,0,4.0,178.0
3/11/20,246.0,0,4.0,242.0
3/12/20,302.0,1,4.0,297.0
3/13/20,504.0,1,6.0,497.0
3/14/20,655.0,1,6.0,648.0
3/15/20,860.0,1,6.0,853.0
3/16/20,1018.0,3,6.0,1009.0
3/17/20,1332.0,3,1.0,1328.0
3/18/20,1646.0,4,9.0,1633.0
3/19/20,2013.0,6,9.0,1998.0
3/2/20,18.0,0,0.0,18.0
3/20/20,2388.0,6,9.0,2373.0
3/21/20,2814.0,8,9.0,2797.0
3/22/20,3582.0,16,9.0,3557.0
3/23/20,4474.0,21,9.0,4444.0
3/24/20,5283.0,28,8.0,5246.0
3/25/20,5588.0,30,9.0,5549.0
3/26/20,6909.0,49,112.0,6748.0
3/27/20,7657.0,58,225.0,7374.0
3/28/20,8271.0,68,225.0,7978.0
3/29/20,8788.0,86,479.0,8223.0
3/3/20,21.0,0,0.0,21.0
3/30/20,9618.0,108,636.0,8874.0
3/31/20,10180.0,128,1095.0,8957.0
3/4/20,29.0,0,0.0,29.0
3/5/20,41.0,0,0.0,41.0
3/6/20,55.0,0,0.0,55.0
3/7/20,79.0,0,0.0,79.0
3/8/20,104.0,0,0.0,104.0
3/9/20,131.0,0,2.0,129.0
4/1/20,10711.0,146,1436.0,9129.0
4/2/20,11129.0,158,1749.0,9222.0
4/3/20,11524.0,168,2022.0,9334.0
4/4/20,11781.0,186,2507.0,9088.0
4/5/20,12051.0,204,2998.0,8849.0
4/6/20,12297.0,220,3463.0,8614.0
4/7/20,12639.0,243,4046.0,8350.0
4/8/20,12942.0,273,0.0,12669.0
4/9/20,,295,5240.0,
