LAND,BESTÄTIGTE FÄLLE,TODESFÄLLE,GEHEILTE,Geheilte,Todesfälle,Aktuelle Erkrankungen,22.01.20,23.01.20,24.01.20,25.01.20,26.01.20,27.01.20,28.01.20,29.01.20,30.01.20,31.01.20,01.02.20,02.02.20,03.02.20,04.02.20,05.02.20,06.02.20,07.02.20,08.02.20,09.02.20,10.02.20,11.02.20,12.02.20,13.02.20,14.02.20,15.02.20,16.02.20,17.02.20,18.02.20,19.02.20,20.02.20,21.02.20,22.02.20,23.02.20,24.02.20,25.02.20,26.02.20,27.02.20,28.02.20,29.02.20,01.03.20,02.03.20,03.03.20,04.03.20,05.03.20,06.03.20,07.03.20,08.03.20,09.03.20,10.03.20,11.03.20,12.03.20,13.03.20,14.03.20,15.03.20,16.03.20,17.03.20,18.03.20,19.03.20,20.03.20,21.03.20,22.03.20,23.03.20,24.03.20,25.03.20,26.03.20,27.03.20,28.03.20,29.03.20,30.03.20,31.03.20,01.04.20,02.04.20,03.04.20,04.04.20,05.04.20,06.04.20,07.04.20,08.04.20,09.04.20,10.04.20,11.04.20,12.04.20,13.04.20,14.04.20,15.04.20,16.04.20,17.04.20,18.04.20,19.04.20,20.04.20,21.04.20
USA,823.786,44.845,75.204,75.204,44.845,703.737,1,1,2,2,5,5,5,5,5,7,8,8,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,15,15,15,51,51,57,58,60,68,74,98,118,149,217,262,402,518,583,959,1.281,1.663,2.179,2.727,3.499,4.632,6.421,7.783,13.747,19.273,25.600,33.276,43.843,53.736,65.778,83.836,101.657,121.465,140.909,161.831,188.172,213.242,243.622,275.367,308.650,336.802,366.317,397.121,428.654,462.780,496.535,526.396,555.313,580.619,607.670,636.350,667.592,699.706,732.197,758.809,784.326,823.786
Spanien,204.178,21.282,82.514,82.514,21.282,100.382,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,13,15,32,45,84,120,165,222,259,400,500,673,1.073,1.695,2.277,2.277,5.232,6.391,7.798,9.942,11.748,13.910,17.963,20.410,25.374,28.768,35.136,39.885,49.515,57.786,65.719,73.235,80.110,87.956,95.923,104.118,112.065,119.199,126.168,131.646,136.675,141.942,148.220,153.222,158.273,163.027,166.831,170.099,172.541,177.644,184.948,190.839,191.726,198.674,200.210,204.178
Italien,183.957,24.648,51.600,51.600,24.648,107.709,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,62,155,229,322,453,655,888,1.128,1.694,2.036,2.502,3.089,3.858,4.636,5.883,7.375,9.172,10.149,12.462,12.462,17.660,21.157,24.747,27.980,31.506,35.713,41.035,47.021,53.578,59.138,63.927,69.176,74.386,80.589,86.498,92.472,97.689,101.739,105.792,110.574,115.242,119.827,124.632,128.948,132.547,135.586,139.422,143.626,147.577,152.271,156.363,159.516,162.488,165.155,168.941,172.434,175.925,178.972,181.228,183.957
Frankreich,159.297,20.829,39.819,39.819,20.829,98.649,0,0,2,3,3,3,4,5,5,5,6,6,6,6,6,6,6,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,14,18,38,57,100,130,191,204,288,380,656,959,1.136,1.219,1.794,2.293,2.293,3.681,4.496,4.532,6.683,7.715,9.124,10.970,12.758,14.463,16.243,20.123,22.622,25.600,29.551,33.402,38.105,40.708,45.170,52.827,57.749,59.929,65.202,69.500,71.412,75.343,79.163,83.057,87.366,91.738,94.863,121.712,125.394,131.361,134.582,147.091,149.130,149.149,154.097,156.480,159.297
Deutschland,148.291,5.033,95.200,95.200,5.033,48.058,0,0,0,0,0,1,4,4,4,5,8,10,12,12,12,12,13,13,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,27,46,48,79,130,159,196,262,482,670,799,1.040,1.176,1.457,1.908,2.078,3.675,4.585,5.795,7.272,9.257,12.327,15.320,19.848,22.213,24.873,29.056,32.986,37.323,43.938,50.871,57.695,62.095,66.885,71.808,77.872,84.794,91.159,96.092,100.123,103.374,107.663,113.296,118.181,122.171,124.908,127.854,130.072,131.359,134.753,137.698,141.397,143.342,145.184,147.065,148.291
Vereinigtes Königreich,130.172,17.378,638,638,17.378,112.156,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,8,8,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,15,20,23,36,40,51,86,116,164,207,274,322,384,459,459,802,1.144,1.145,1.551,1.960,2.642,2.716,4.014,5.067,5.745,6.726,8.164,9.640,11.812,14.745,17.312,19.780,22.453,25.481,29.865,34.173,38.689,42.477,48.436,52.279,55.949,61.474,65.872,74.605,79.874,85.206,89.570,94.845,99.483,104.145,109.769,115.314,121.172,125.856,130.172
Türkei,95.591,2.259,14.918,14.918,2.259,78.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,6,18,47,98,192,359,670,1.236,1.529,1.872,2.433,3.629,5.698,7.402,9.217,10.827,13.531,15.679,18.135,20.921,23.934,27.069,30.217,34.109,38.226,42.282,47.029,52.167,56.956,61.049,65.111,69.392,74.193,78.546,82.329,86.306,90.980,95.591
Iran,84.802,5.297,60.965,60.965,5.297,18.540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,18,28,43,61,95,139,245,388,593,978,1.501,2.336,2.922,3.513,4.747,5.823,6.566,7.161,8.042,9.000,10.075,11.364,12.729,13.938,14.991,16.169,17.361,18.407,19.644,20.610,21.638,23.049,24.811,27.017,29.406,32.332,35.408,38.309,41.495,44.605,47.593,50.468,53.183,55.743,58.226,60.500,62.589,64.586,66.220,68.192,70.029,71.686,73.303,74.877,76.389,77.995,79.494,80.868,82.211,83.505,84.802
China,83.853,4.636,77.799,77.799,4.636,1.418,548,643,920,1.406,2.075,2.877,5.509,6.087,8.141,9.802,11.891,16.630,19.716,23.707,27.440,30.587,34.110,36.814,39.829,42.354,44.386,44.759,59.895,66.358,68.413,70.513,72.434,74.211,74.619,75.077,75.550,77.001,77.022,77.241,77.754,78.166,78.600,78.928,79.356,79.932,80.136,80.261,80.386,80.537,80.690,80.770,80.823,80.860,80.887,80.921,80.932,80.945,80.977,81.003,81.033,81.058,81.102,81.156,81.250,81.305,81.435,81.498,81.591,81.661,81.782,81.897,81.999,82.122,82.198,82.279,82.361,82.432,82.511,82.543,82.602,82.665,82.718,82.809,82.883,82.941,83.014,83.134,83.213,83.306,83.356,83.403,83.760,83.787,83.805,83.817,83.853
Russland,52.763,456,3.873,3.873,456,48.434,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,13,13,17,17,20,20,28,45,59,63,90,114,147,199,253,306,367,438,495,658,840,1.036,1.264,1.534,1.836,2.337,2.777,3.548,4.149,4.731,5.389,6.343,7.497,8.672,10.131,11.917,13.584,15.770,18.328,21.102,24.490,27.938,32.008,36.793,42.853,47.121,52.763
