Lat,Long,Bestätigte Fälle,Region,Todesfälle,Geheilte
15.0,101.0,114.0,Thailand,1.0,35.0
36.0,138.0,773.0,Japan,22.0,118.0
1.2833,103.8333,226.0,Singapore,0.0,105.0
28.1667,84.25,1.0,Nepal,0.0,1.0
2.5,112.5,428.0,Malaysia,0.0,42.0
49.2827,-123.1207,73.0,British Columbia,1.0,4.0
-33.8688,151.2093,134.0,New South Wales,2.0,4.0
-37.8136,144.9631,57.0,Victoria,0.0,8.0
-28.0167,153.4,61.0,Queensland,0.0,8.0
11.55,104.9167,7.0,Cambodia,0.0,1.0
7.0,81.0,11.0,Sri Lanka,0.0,1.0
51.0,9.0,5426.0,Germany,11.0,46.0
64.0,26.0,243.0,Finland,0.0,1.0
24.0,54.0,86.0,United Arab Emirates,0.0,23.0
13.0,122.0,140.0,Philippines,11.0,2.0
21.0,78.0,113.0,India,2.0,4.0
43.0,12.0,21157.0,Italy,1441.0,1966.0
63.0,16.0,1022.0,Sweden,3.0,1.0
40.0,-4.0,7798.0,Spain,289.0,517.0
-34.9285,138.6007,20.0,South Australia,0.0,3.0
50.8333,4.0,886.0,Belgium,4.0,1.0
26.0,30.0,110.0,Egypt,2.0,21.0
35.4437,139.638,0.0,From Diamond Princess,0.0,0.0
33.8547,35.8623,110.0,Lebanon,3.0,1.0
33.0,44.0,110.0,Iraq,10.0,26.0
21.0,57.0,20.0,Oman,0.0,9.0
33.0,65.0,16.0,Afghanistan,0.0,0.0
26.0275,50.55,210.0,Bahrain,0.0,44.0
29.5,47.75,112.0,Kuwait,0.0,5.0
28.0339,1.6596,48.0,Algeria,4.0,12.0
45.1,15.2,49.0,Croatia,0.0,1.0
46.8182,8.2275,2200.0,Switzerland,14.0,4.0
47.5162,14.5501,860.0,Austria,1.0,6.0
31.0,35.0,200.0,Israel,0.0,4.0
30.3753,69.3451,53.0,Pakistan,0.0,2.0
-14.235,-51.9253,162.0,Brazil,0.0,0.0
42.3154,43.3569,30.0,Georgia,0.0,0.0
42.3154,43.3569,30.0,Georgia,0.0,0.0
42.3154,43.3569,30.0,Georgia,1.0,0.0
42.3154,43.3569,30.0,Georgia,1.0,0.0
39.0742,21.8243,228.0,Greece,4.0,8.0
41.6086,21.7453,14.0,North Macedonia,0.0,1.0
60.472,8.4689,1207.0,Norway,3.0,1.0
45.9432,24.9668,131.0,Romania,0.0,9.0
58.5953,25.0136,135.0,Estonia,0.0,0.0
52.1326,5.2913,1135.0,Netherlands,20.0,2.0
43.9424,12.4578,92.0,San Marino,5.0,4.0
53.7098,27.9534,27.0,Belarus,0.0,3.0
64.9631,-19.0208,161.0,Iceland,0.0,1.0
55.1694,23.8813,12.0,Lithuania,0.0,1.0
23.6345,-102.5528,41.0,Mexico,0.0,4.0
-40.9006,174.886,8.0,New Zealand,0.0,0.0
9.082,8.6753,2.0,Nigeria,0.0,0.0
-31.9505,115.8605,17.0,Western Australia,1.0,0.0
53.1424,-7.6921,129.0,Ireland,2.0,0.0
49.8153,6.1296,59.0,Luxembourg,1.0,0.0
43.7333,7.4167,2.0,Monaco,0.0,0.0
25.3548,51.1839,337.0,Qatar,0.0,4.0
-1.8312,-78.1834,28.0,Ecuador,2.0,0.0
40.1431,47.5769,15.0,Azerbaijan,1.0,3.0
40.0691,45.0382,23.0,Armenia,0.0,0.0
18.7357,-70.1627,11.0,Dominican Republic,0.0,0.0
